,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)
131, 01/06  12:00:00,6.7,159834.561767134,26.413626677213472,38.8822499461366,40.8129235526195,17.361014,16.596299,3.039774,2.90671475
132, 01/06  13:00:00,7.2,159740.89250076795,26.398147265216675,39.14410432171645,41.080080613646,17.26195,16.482708,3.028518500000001,2.89239425
133, 01/06  14:00:00,7.8,156602.35298518004,25.87948465457805,39.11263384731123,41.07927281155678,17.244743,16.466598,3.01690275,2.88149525
134, 01/06  15:00:00,8.3,153721.0980138582,25.40333986878862,39.05558015365288,41.04212973519609,17.273784,16.476523,3.021454,2.88254725
135, 01/06  16:00:00,8.3,153831.30603566032,25.42155241000956,38.99197790009677,40.95147118931264,17.289596,16.503943,3.02443825,2.88620875
136, 01/06  17:00:00,8.3,153900.96993378314,25.43306478992008,38.8550668060882,40.80102404982557,17.354384,16.574758,3.03276925,2.8959745000000003
137, 01/06  18:00:00,8.3,158359.0724444375,26.169793155195247,38.952523188752,40.88045313735888,17.329433,16.55535,3.03546375,2.8996085
138, 01/06  19:00:00,8.3,134605.35826369133,22.244348422650088,36.311144889407984,38.14616442561873,18.331604,17.595352,3.14348125,3.0139425
139, 01/06  20:00:00,7.8,140347.6891624112,23.193303285346136,36.553386892894906,38.29889085007404,18.301946,17.596097,3.21163125,3.08594475
140, 01/06  21:00:00,6.7,139497.76421933767,23.052848055252014,36.43485436381805,38.19375309893587,18.308223,17.614451,3.20027925,3.0791640000000005
141, 01/06  22:00:00,6.7,137932.85320871085,22.794237059227385,36.40296133005205,38.17221903909218,18.340748,17.62913,3.2088565,3.0846635
142, 01/06  23:00:00,10.0,144554.81601422228,23.888556407191704,36.4660972986481,38.22012109094481,18.316787,17.615098,3.207368,3.084181
143, 01/07  00:00:00,8.9,140910.4186504156,23.28629773192936,36.3791814741518,38.13945383595178,18.338201,17.63532,3.206678,3.08383875
144, 01/07  01:00:00,9.4,109028.27659259328,18.017581199818427,33.06611771174752,34.72722864372646,19.668917,19.004931,3.3658825,3.249662
145, 01/07  02:00:00,8.9,117991.11955975236,19.498745132597502,33.3469533392857,34.89599128146987,19.563492,18.933148,3.4341585,3.3212122499999994
146, 01/07  03:00:00,6.1,113372.94383655328,18.735563702162764,33.064784813069025,34.65851180321933,19.653609,19.025685,3.4307665000000003,3.32255725
147, 01/07  04:00:00,6.7,117748.90586975332,19.45871785743867,33.1204697667719,34.69638068198709,19.659096,19.022441,3.4423075,3.3304075
148, 01/07  05:00:00,7.2,115066.5976053984,19.01545021654447,33.07688651735778,34.65497984701942,19.662652,19.035356,3.43966025,3.32997475
